Time [MJD], Mag, MagErr
6.101422846097000001e+04,2.323057089348150583e+01,5.413193440236838128e-02
6.101423217614999885e+04,2.312601490762051526e+01,4.713482767533735962e-02
6.101423589134000213e+04,2.313925060633965103e+01,4.769817072619780829e-02
6.101423960688999796e+04,2.315606332687465141e+01,4.853563934281921594e-02
6.101424332208000124e+04,2.318799072227828617e+01,5.071982151802241490e-02
6.101424703726000007e+04,2.271225910269396309e+01,3.437921071008453316e-02
6.101425075245000335e+04,2.314921492766189459e+01,4.708727313931280328e-02
6.101425446799999918e+04,2.311760517415494576e+01,4.780743129484659598e-02
