Time [MJD], Mag, MagErr
6.100971623874000215e+04,2.255865973941629932e+01,4.112793898234760187e-02
6.100971995392999816e+04,2.250633497675156036e+01,4.287687935374684400e-02
6.100972366910999699e+04,2.250572293671220336e+01,3.795031891456661366e-02
6.100972738466999726e+04,2.248248636503520714e+01,3.565738723253724513e-02
6.100973109985000337e+04,2.254102828056034724e+01,3.570794760524541311e-02
6.100973481503999938e+04,2.256194554041024247e+01,3.903999248105761294e-02
6.100973853021999821e+04,2.250464288334507046e+01,3.602155587228158401e-02
6.100974224577999848e+04,2.243672647058757263e+01,3.551944786503137552e-02
