Time [MJD], Mag, MagErr
6.100971623874000215e+04,1.948708521450546272e+01,6.144498022053884734e-03
6.100971995392999816e+04,1.947394717204696235e+01,6.049034185117716303e-03
6.100972366910999699e+04,1.948768053913765641e+01,6.172103256948092975e-03
6.100972738466999726e+04,1.948542875178275580e+01,6.180324733102747839e-03
6.100973109985000337e+04,1.949591440750775462e+01,6.223981865091065581e-03
6.100973481503999938e+04,1.948073670136387392e+01,6.187725114313498594e-03
6.100973853021999821e+04,1.947575598399829033e+01,6.322299573352105351e-03
6.100974224577999848e+04,1.946646276940046505e+01,6.228542248861019572e-03
