Time [MJD], Mag, MagErr
6.100971623874000215e+04,2.363818365327975357e+01,2.148845864231371111e-02
6.100971995392999816e+04,2.358964971697544399e+01,2.346462131967891329e-02
6.100972366910999699e+04,2.354482353711498632e+01,2.120092208917183016e-02
6.100972738466999726e+04,2.363395829981544694e+01,2.618453225998642470e-02
6.100973109985000337e+04,2.354933647985136957e+01,2.513996727970736061e-02
6.100973481503999938e+04,2.347199822789060164e+01,2.361479253576830722e-02
6.100973853021999821e+04,2.352917099022573311e+01,2.244645131459457529e-02
6.100974224577999848e+04,2.343147533961846207e+01,2.284818124254467744e-02
